0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31
2.5539849,-0.77053213,0.71013415,-0.00948574,0.8013956,0.6936594,0.6044218,2.3117366,1.1785554,0.97083646,-2.2913206,-1.4087256,-1.6051096,0.4152878,1.00648,-0.94917285,2.2697766,-1.1937644,1.0009943,-0.98039776,-0.07359934,-0.104483545,-0.15421332,-2.7155714,-3.151113,0.91185,-2.1795402,0.6220149,0.44806537,1.2760724,2.0356703,-1.8113542
2.5543463,-0.7713601,0.7100941,-0.009263586,0.8012982,0.69311506,0.6048767,2.312001,1.1787254,0.97113395,-2.2916486,-1.4091033,-1.6046835,0.41597098,1.0075854,-0.94924545,2.270371,-1.1936954,1.0010972,-0.98064905,-0.07414445,-0.104429096,-0.1542792,-2.715691,-3.1514862,0.9117932,-2.1799183,0.62157106,0.4486518,1.2757286,2.0356927,-1.8115155
2.5542488,-0.7710625,0.7095409,-0.009144809,0.80194867,0.69300205,0.6048664,2.311642,1.1789813,0.9707813,-2.2918139,-1.4090624,-1.604702,0.41631365,1.0080607,-0.94956636,2.2702549,-1.193969,1.0010477,-0.9805965,-0.07481407,-0.10405764,-0.1550927,-2.716178,-3.1516783,0.9116123,-2.1794364,0.6215736,0.44866818,1.2760831,2.0352697,-1.811484
2.554571,-0.77095973,0.7104569,-0.010321617,0.80200124,0.69349027,0.6042838,2.3110585,1.1791563,0.9701871,-2.2912962,-1.4088373,-1.6054287,0.41544604,1.0064778,-0.9491141,2.2711573,-1.1934153,1.0016356,-0.9805696,-0.072732545,-0.10455358,-0.15395029,-2.7154827,-3.1519847,0.9134057,-2.1792662,0.622856,0.4485729,1.274579,2.0364876,-1.8108475
2.5538347,-0.77100354,0.70968664,-0.008799106,0.80147976,0.6936476,0.6044997,2.3119893,1.1785176,0.97080076,-2.2915485,-1.408627,-1.6050692,0.41565388,1.0075074,-0.9489182,2.269782,-1.1939785,1.0005034,-0.9807588,-0.074475706,-0.10371954,-0.15455478,-2.7156172,-3.1510358,0.91147983,-2.1793616,0.6224501,0.44846106,1.2759846,2.0355945,-1.8109179
2.553735,-0.7718602,0.7093286,-0.0086177215,0.80123526,0.6927578,0.6047619,2.3120399,1.1787409,0.9707089,-2.2921472,-1.4089017,-1.6048797,0.41634107,1.0081834,-0.9489291,2.269292,-1.1940804,1.0001156,-0.981267,-0.07490519,-0.103119195,-0.15533508,-2.716058,-3.1507657,0.91097695,-2.179175,0.62231076,0.44865304,1.2759485,2.0350597,-1.8112373
2.5534697,-0.77131844,0.7094912,-0.008615665,0.8016106,0.6931691,0.60484546,2.3120618,1.1784233,0.9705907,-2.291854,-1.4086379,-1.6045763,0.41613042,1.0078328,-0.9493084,2.268992,-1.193741,1.0002422,-0.9810826,-0.0751449,-0.10353926,-0.1553709,-2.7159295,-3.150667,0.9106417,-2.1793044,0.62208813,0.44870552,1.2762816,2.0349433,-1.8110858
2.5536995,-0.77113634,0.70934385,-0.008312929,0.80191827,0.693265,0.6049605,2.312478,1.1783744,0.97117347,-2.291684,-1.4088253,-1.6043452,0.41630483,1.0086023,-0.94944274,2.26918,-1.1941367,1.000478,-0.9807621,-0.07614762,-0.103421375,-0.15524548,-2.715864,-3.1508098,0.9099937,-2.179526,0.621376,0.44885287,1.2769682,2.0350528,-1.811146
2.5539024,-0.7714161,0.70944744,-0.008754965,0.8017654,0.6930512,0.6048703,2.312152,1.1782187,0.9708507,-2.2915645,-1.4086688,-1.6045752,0.4160825,1.0081519,-0.94931877,2.2694144,-1.1936597,1.0005361,-0.98093164,-0.0755526,-0.103782564,-0.15482552,-2.7156603,-3.1509762,0.91058517,-2.1795335,0.6215236,0.44875973,1.2765307,2.0351658,-1.8110869
2.5543509,-0.7715508,0.710046,-0.009269007,0.80177575,0.69331545,0.6045527,2.311959,1.1785184,0.9706036,-2.2915401,-1.4086694,-1.6049439,0.41585004,1.0076631,-0.94908106,2.270401,-1.1933492,1.0009222,-0.9809298,-0.074623324,-0.10432572,-0.15429848,-2.715359,-3.1515908,0.9118524,-2.1796696,0.6218225,0.44866246,1.2757602,2.0358183,-1.8109668
2.553863,-0.772505,0.70924896,-0.008516941,0.80089974,0.69289184,0.6048493,2.3121498,1.1779068,0.97088057,-2.2916498,-1.4087813,-1.6046388,0.4167726,1.0084729,-0.9489534,2.2691302,-1.1935354,0.9999471,-0.9815877,-0.07535529,-0.103060216,-0.1550926,-2.7159138,-3.1504662,0.91060454,-2.1798115,0.622262,0.4485861,1.276351,2.0349746,-1.8113891
2.553607,-0.7724805,0.7089526,-0.008124616,0.80068624,0.692834,0.60515606,2.3123739,1.1777103,0.97115546,-2.2916658,-1.4090335,-1.6046063,0.41705894,1.008308,-0.9489399,2.2685287,-1.1938465,0.9995363,-0.98183715,-0.07549846,-0.10259425,-0.15553622,-2.7161076,-3.1499104,0.9097489,-2.1798306,0.62246823,0.4484769,1.2768656,2.0346806,-1.8114605
2.5529654,-0.77210563,0.7082694,-0.0070750117,0.8005549,0.6924888,0.60563976,2.313261,1.1776388,0.9720817,-2.292133,-1.4094355,-1.6037334,0.41730058,1.0097405,-0.9492265,2.2668684,-1.1948668,0.9993912,-0.9815861,-0.077513084,-0.101676136,-0.15648296,-2.7164137,-3.1487677,0.9073111,-2.179541,0.6214331,0.4489215,1.2781643,2.0342512,-1.8122077
2.5529964,-0.7726043,0.7081821,-0.007133521,0.8007124,0.6921263,0.6057651,2.3132854,1.1780505,0.97202605,-2.2925215,-1.4096022,-1.6035773,0.41777802,1.0104473,-0.94936,2.2669818,-1.1948994,0.9993316,-0.98155594,-0.07783291,-0.10150785,-0.15694182,-2.7169185,-3.148819,0.90730816,-2.1794393,0.6212772,0.44918755,1.2778652,2.0340466,-1.8122613
2.5530028,-0.77185756,0.70867425,-0.0073991455,0.8013738,0.692799,0.6046673,2.3126216,1.1787869,0.9708142,-2.2925303,-1.4087632,-1.6044672,0.41645318,1.0095725,-0.94908893,2.268546,-1.1945416,0.9996232,-0.98145014,-0.0770453,-0.10203534,-0.15631643,-2.7161505,-3.1500874,0.9094221,-2.1788158,0.62193525,0.44932956,1.2765932,2.0345829,-1.8109876
2.5531263,-0.77232,0.7092481,-0.008119911,0.8009959,0.6926487,0.60435164,2.3122084,1.1790894,0.9702827,-2.2926254,-1.4087207,-1.6045647,0.41619098,1.0093015,-0.9486656,2.2695975,-1.1940099,0.99987435,-0.9819303,-0.0759452,-0.10241802,-0.1556391,-2.7157857,-3.150542,0.91120493,-2.1787784,0.62265134,0.44962484,1.2750026,2.0350194,-1.8107178
2.5537813,-0.771797,0.7096871,-0.009131301,0.80160296,0.6929601,0.6044391,2.3116798,1.1788623,0.9698569,-2.2918813,-1.4085999,-1.6049471,0.416003,1.0076836,-0.94883597,2.2700589,-1.19327,1.0001502,-0.98153716,-0.074530244,-0.10379123,-0.15505677,-2.715544,-3.1511254,0.91189504,-2.179011,0.62278694,0.44894844,1.2749761,2.0353763,-1.8105618
2.5544593,-0.7706614,0.7097893,-0.009764444,0.80247664,0.69362384,0.60436743,2.3114645,1.1788406,0.97036386,-2.2912717,-1.4087883,-1.6054367,0.41573054,1.0070025,-0.9489323,2.2706416,-1.1937244,1.000898,-0.9806168,-0.07390621,-0.10426563,-0.15444316,-2.7154255,-3.1517358,0.91213995,-2.1790724,0.6226794,0.44837108,1.2755747,2.0363867,-1.8105518
2.5535212,-0.77178675,0.708926,-0.008904744,0.8013759,0.6929412,0.6047539,2.3119726,1.1782717,0.9707579,-2.2918575,-1.4088359,-1.6047717,0.41665208,1.0081995,-0.9487065,2.2687638,-1.1940138,0.9997456,-0.98146844,-0.075173944,-0.102889135,-0.15532365,-2.7160773,-3.150209,0.9105579,-2.179173,0.62261975,0.44821626,1.2762905,2.0350833,-1.811206
2.5539186,-0.7722556,0.70930296,-0.008528106,0.80130595,0.69298136,0.6049738,2.3126793,1.1784285,0.97117996,-2.2921813,-1.4091742,-1.6045548,0.4168527,1.0089922,-0.94895923,2.268632,-1.1940825,1.0001527,-0.98138714,-0.075897716,-0.103050485,-0.15565632,-2.7161307,-3.1503093,0.9098993,-2.1792965,0.6220293,0.4487766,1.2765758,2.035481,-1.8117156
2.55443,-0.7711678,0.7096919,-0.009281635,0.8020949,0.6934845,0.60454035,2.3118982,1.1787441,0.9710305,-2.2915998,-1.4087857,-1.6050723,0.41599083,1.0079472,-0.9489752,2.2702403,-1.1939403,1.0009149,-0.9809395,-0.07475619,-0.10381856,-0.15480027,-2.7156816,-3.1515508,0.911578,-2.1792815,0.6220978,0.44863287,1.2760627,2.0360022,-1.8111261
