latent_0,latent_1,latent_2,latent_3,latent_4,latent_5,latent_6,latent_7,latent_8,latent_9,latent_10,latent_11,latent_12,latent_13,latent_14,latent_15,latent_16,latent_17,latent_18,latent_19,latent_20,latent_21,latent_22,latent_23,latent_24,target,split
0.98892945,0.60440165,0.029764913,1.1388506,1.8694141,-1.5563754,0.02903667,0.114973485,-0.01796107,-1.4575711,0.057773024,-0.9655444,-1.8296674,-1.9035987,0.6415667,1.2574903,-0.30632943,-0.46913493,0.6331527,0.9435508,0.009615697,-0.85638344,-1.4670452,0.587268,1.4267426,0.88854045,train
0.9889218,0.60439473,0.029772982,1.1388599,1.8694092,-1.5563736,0.02903533,0.114966854,-0.017963335,-1.4575825,0.057770208,-0.96555775,-1.8296598,-1.9035954,0.64156497,1.2574899,-0.30633456,-0.46912366,0.63314533,0.9435562,0.00962884,-0.8563842,-1.4670441,0.58727396,1.4267484,0.88854045,train
0.988918,0.6043914,0.02978003,1.1388664,1.8694061,-1.5563745,0.029033244,0.11496177,-0.01796469,-1.4575899,0.057768285,-0.9655641,-1.8296546,-1.9035968,0.6415605,1.2574893,-0.30633605,-0.46911508,0.6331407,0.94355947,0.009638332,-0.85638344,-1.4670432,0.58727777,1.4267508,0.88854045,train
0.9888964,0.60439444,0.029798679,1.1388463,1.8694123,-1.5563679,0.029031664,0.11497183,-0.017971814,-1.4575909,0.057774946,-0.9655774,-1.8296593,-1.9035777,0.6415644,1.2574854,-0.30635676,-0.4691192,0.6331332,0.94355375,0.009654455,-0.856382,-1.4670576,0.58729327,1.4267721,0.88854045,train
0.9888943,0.6044014,0.029797152,1.1388406,1.8694159,-1.5563636,0.029031977,0.114971325,-0.017972514,-1.4575841,0.057776615,-0.96557486,-1.8296647,-1.9035733,0.64156866,1.2574891,-0.3063634,-0.4691255,0.63314044,0.9435468,0.009648658,-0.856381,-1.4670599,0.5872909,1.4267712,0.88854045,train
0.98891395,0.60441554,0.029776849,1.1388357,1.8694228,-1.5563685,0.029033229,0.11497533,-0.017969817,-1.457562,0.057779223,-0.9655501,-1.8296738,-1.9035859,0.64156896,1.2574942,-0.3063507,-0.4691403,0.63315856,0.9435379,0.009622566,-0.85638183,-1.4670552,0.58727574,1.4267479,0.88854045,train
0.988908,0.60440654,0.02978208,1.1388353,1.8694171,-1.5563685,0.02903454,0.1149824,-0.017970249,-1.4575695,0.057777077,-0.9655584,-1.8296722,-1.9035834,0.64157426,1.2574905,-0.30635417,-0.46913928,0.6331469,0.94354844,0.009633832,-0.8563831,-1.4670547,0.58728135,1.4267566,0.88854045,train
0.98890907,0.6044043,0.029773861,1.1388482,1.8694159,-1.5563726,0.02903919,0.11497556,-0.017967716,-1.4575742,0.057774693,-0.96555406,-1.8296665,-1.9035901,0.6415751,1.2574878,-0.30634728,-0.469136,0.63314724,0.9435511,0.009632535,-0.85638416,-1.4670465,0.587274,1.4267524,0.88854045,train
0.9889161,0.60440093,0.029774994,1.1388506,1.8694124,-1.5563718,0.02903445,0.11497374,-0.017962947,-1.457578,0.057774186,-0.9655562,-1.8296653,-1.9035938,0.64157015,1.2574874,-0.30633885,-0.46913034,0.63314474,0.9435514,0.009630524,-0.85638297,-1.4670472,0.5872754,1.4267524,0.88854045,train
0.9889192,0.6043997,0.029779747,1.1388503,1.8694087,-1.5563742,0.029037714,0.114973664,-0.01796481,-1.4575814,0.057775065,-0.9655602,-1.8296655,-1.9035937,0.6415676,1.2574873,-0.30633318,-0.4691291,0.6331477,0.9435531,0.009629898,-0.8563821,-1.4670478,0.587273,1.4267491,0.88854045,train
0.9889304,0.6044044,0.029769167,1.138851,1.8694088,-1.5563744,0.029039145,0.114973724,-0.01796195,-1.4575746,0.057778537,-0.965552,-1.8296691,-1.9035958,0.6415658,1.257491,-0.3063242,-0.4691354,0.6331582,0.9435471,0.009616874,-0.8563843,-1.4670465,0.58726466,1.4267395,0.88854045,train
0.9889352,0.60440993,0.02976396,1.1388444,1.8694127,-1.5563741,0.029038623,0.11497554,-0.01796025,-1.4575653,0.0577814,-0.9655436,-1.8296744,-1.9035965,0.6415642,1.2574936,-0.3063205,-0.46914297,0.63316655,0.9435405,0.00960695,-0.85638267,-1.4670503,0.5872612,1.4267353,0.88854045,train
0.9889247,0.60439795,0.029773086,1.1388417,1.8694057,-1.5563754,0.029038787,0.11498542,-0.017960846,-1.4575732,0.057782203,-0.96555454,-1.8296736,-1.9035897,0.64156455,1.2574867,-0.30632907,-0.4691404,0.633152,0.9435532,0.00962504,-0.85638046,-1.4670548,0.5872706,1.4267508,0.88854045,train
0.988936,0.604401,0.029759772,1.1388553,1.8694043,-1.5563813,0.029045254,0.11497769,-0.017958209,-1.4575735,0.05778177,-0.96554554,-1.8296697,-1.9036005,0.64156276,1.2574885,-0.30631393,-0.46913868,0.6331632,0.9435514,0.009614296,-0.85638314,-1.4670463,0.58725506,1.4267337,0.88854045,train
